! Freq(MHz)     Int(K)
 97219.6381       0.00 
 97219.8821       0.01 
 97220.1261       0.01 
 97220.3701       0.02 
 97220.6141       0.03 
 97220.8581       0.04 
 97221.1021       0.04 
 97221.3461       0.03 
 97221.5901       0.03 
 97221.8341       0.02 
 97222.0781       0.01 
 97222.3221       0.01 
 97222.5661       0.00 
 97222.8101       0.00 
 97223.0541       0.00 
 97223.2981       0.00 
 97223.5421       0.00 
 97223.7861       0.00 
 97224.0301       0.00 
 97224.2741       0.00 
 97224.5181       0.00 
 97224.7621       0.00 
 97225.0061       0.00 
 97225.2501       0.00 
 97225.4941       0.00 
 97225.7381       0.00 
 97225.9821       0.00 
 97226.2261       0.00 
 97226.4701       0.00 
 97226.7141       0.00 
 97226.9581       0.00 
 97227.2021       0.00 
 97227.4461       0.00 
 97227.6901       0.00 
 97227.9341       0.00 
 97228.1781       0.00 
 97228.4221       0.00 
 97228.6661       0.00 
 97228.9101       0.00 
 97229.1541       0.00 
 97229.3981       0.00 
 97229.6421       0.00 
 97229.8861       0.00 
 97230.1301       0.00 
 97230.3741       0.00 
 97230.6181       0.00 
 97230.8621       0.00 
 97231.1061       0.00 
 97231.3501       0.00 
 97231.5941       0.00 
 97231.8381       0.00 
 97232.0821       0.00 
 97232.3261       0.00 
 97232.5701       0.00 
 97232.8141       0.00 
 97233.0581       0.00 
 97233.3021       0.00 
 97233.5461       0.00 
 97233.7901       0.00 
 97234.0341       0.00 
 97234.2781       0.00 
 97234.5221       0.00 
 97234.7661       0.00 
 97235.0101       0.00 
 97235.2541       0.00 
 97235.4981       0.00 
 97235.7421       0.00 
 97235.9861       0.00 
 97236.2301       0.00 
 97236.4741       0.00 
 97236.7181       0.00 
 97236.9621       0.00 
 97237.2061       0.00 
 97237.4501       0.00 
 97237.6941       0.00 
 97237.9381       0.00 
 97238.1821       0.00 
 97238.4261       0.00 
 97238.6701       0.00 
 97238.9141       0.00 
 97239.1581       0.00 
 97239.4021       0.00 
 97239.6461       0.00 
 97239.8901       0.00 
 97240.1341       0.00 
 97240.3781       0.00 
 97240.6221       0.00 
 97240.8661       0.00 
 97241.1101       0.00 
 97241.3541       0.00 
 97241.5981       0.00 
 97241.8421       0.00 
 97242.0861       0.00 
 97242.3301       0.00 
 97242.5741       0.00 
 97242.8181       0.00 
 97243.0621       0.00 
 97243.3061       0.00 
 97243.5501       0.00 
 97243.7941       0.00 
 97244.0381       0.00 
 97244.2821       0.00 
 97244.5261       0.00 
 97244.7701       0.00 
 97245.0141       0.00 
 97245.2581       0.00 
 97245.5021       0.00 
 97245.7461       0.00 
 97245.9901       0.00 
 97246.2341       0.00 
 97246.4781       0.00 
 97246.7221       0.00 
 97246.9661       0.00 
 97247.2101       0.00 
 97247.4541       0.00 
 97247.6981       0.00 
 97247.9421       0.00 
 97248.1861       0.00 
 97248.4301       0.00 
 97248.6741       0.00 
 97248.9181       0.00 
 97249.1621       0.00 
 97249.4061       0.00 
 97249.6501       0.00 
 97249.8941       0.00 
 97250.1381       0.00 
 97250.3821       0.00 
 97250.6261       0.00 
 97250.8701       0.00 
 97251.1141       0.00 
 97251.3581       0.00 
 97251.6021       0.00 
 97251.8461       0.00 
 97252.0901       0.00 
 97252.3341       0.00 
 97252.5781       0.00 
 97252.8221       0.00 
 97253.0661       0.00 
 97253.3101       0.00 
 97253.5541       0.00 
 97253.7981       0.00 
 97254.0421       0.00 
 97254.2861       0.00 
