! Freq(MHz)     Int(K)
 98922.7409       0.00 
 98922.9849       0.00 
 98923.2289       0.00 
 98923.4729       0.00 
 98923.7169       0.00 
 98923.9609       0.00 
 98924.2049       0.00 
 98924.4489       0.00 
 98924.6929       0.00 
 98924.9369       0.00 
 98925.1809       0.00 
 98925.4249       0.00 
 98925.6689       0.00 
 98925.9129       0.00 
 98926.1569       0.00 
 98926.4009       0.00 
 98926.6449       0.00 
 98926.8889       0.00 
 98927.1329       0.00 
 98927.3769       0.00 
 98927.6209       0.00 
 98927.8649       0.00 
 98928.1089       0.00 
 98928.3529       0.00 
 98928.5969       0.00 
 98928.8409       0.00 
 98929.0849       0.00 
 98929.3289       0.00 
 98929.5729       0.00 
 98929.8169       0.00 
 98930.0609       0.00 
 98930.3049       0.00 
 98930.5489       0.00 
 98930.7929       0.00 
 98931.0369       0.00 
 98931.2809       0.00 
 98931.5249       0.00 
 98931.7689       0.00 
 98932.0129       0.00 
 98932.2569       0.00 
 98932.5009       0.00 
 98932.7449       0.00 
 98932.9889       0.00 
 98933.2329       0.00 
 98933.4769       0.00 
 98933.7209       0.00 
 98933.9649       0.00 
 98934.2089       0.00 
 98934.4529       0.00 
 98934.6969       0.00 
 98934.9409       0.00 
 98935.1849       0.00 
 98935.4289       0.00 
 98935.6729       0.00 
 98935.9169       0.00 
 98936.1609       0.00 
 98936.4049       0.00 
 98936.6489       0.00 
 98936.8929       0.00 
 98937.1369       0.00 
 98937.3809       0.00 
 98937.6249       0.00 
 98937.8689       0.00 
 98938.1129       0.00 
 98938.3569       0.00 
 98938.6009       0.00 
 98938.8449       0.00 
 98939.0889       0.00 
 98939.3329       0.00 
 98939.5769       0.00 
 98939.8209       0.00 
 98940.0649       0.00 
 98940.3089       0.00 
 98940.5529       0.00 
 98940.7969       0.00 
 98941.0409       0.00 
 98941.2849       0.00 
 98941.5289       0.00 
 98941.7729       0.00 
 98942.0169       0.00 
 98942.2609       0.00 
 98942.5049       0.00 
 98942.7489       0.00 
 98942.9929       0.00 
 98943.2369       0.00 
 98943.4809       0.00 
 98943.7249       0.00 
 98943.9689       0.00 
 98944.2129       0.00 
 98944.4569       0.00 
 98944.7009       0.00 
 98944.9449       0.00 
 98945.1889       0.00 
 98945.4329       0.00 
 98945.6769       0.00 
 98945.9209       0.00 
 98946.1649       0.00 
 98946.4089       0.00 
 98946.6529       0.00 
 98946.8969       0.00 
 98947.1409       0.00 
 98947.3849       0.00 
 98947.6289       0.00 
 98947.8729       0.00 
 98948.1169       0.00 
 98948.3609       0.00 
 98948.6049       0.00 
 98948.8489       0.00 
 98949.0929       0.00 
 98949.3369       0.00 
 98949.5809       0.00 
 98949.8249       0.00 
 98950.0689       0.00 
 98950.3129       0.00 
 98950.5569       0.00 
 98950.8009       0.00 
 98951.0449       0.00 
 98951.2889       0.00 
 98951.5329       0.00 
 98951.7769       0.00 
 98952.0209       0.00 
 98952.2649       0.00 
 98952.5089       0.00 
 98952.7529       0.00 
 98952.9969       0.00 
 98953.2409       0.00 
 98953.4849       0.00 
 98953.7289       0.00 
 98953.9729       0.00 
 98954.2169       0.00 
 98954.4609       0.00 
 98954.7049       0.00 
 98954.9489       0.00 
 98955.1929       0.00 
 98955.4369       0.00 
 98955.6809       0.00 
 98955.9249       0.00 
 98956.1689       0.00 
 98956.4129       0.00 
 98956.6569       0.00 
 98956.9009       0.00 
 98957.1449       0.00 
 98957.3889       0.00 
 98957.6329       0.00 
 98957.8769       0.00 
 98958.1209       0.00 
 98958.3649       0.00 
 98958.6089       0.00 
 98958.8529       0.00 
 98959.0969       0.00 
 98959.3409       0.00 
 98959.5849       0.00 
 98959.8289       0.00 
 98960.0729       0.00 
 98960.3169       0.00 
 98960.5609       0.00 
 98960.8049       0.00 
 98961.0489       0.00 
 98961.2929       0.00 
 98961.5369       0.00 
 98961.7809       0.00 
 98962.0249       0.00 
 98962.2689       0.00 
 98962.5129       0.00 
 98962.7569       0.00 
 98963.0009       0.00 
 98963.2449       0.00 
 98963.4889       0.00 
 98963.7329       0.00 
 98963.9769       0.00 
 98964.2209       0.00 
 98964.4649       0.00 
 98964.7089       0.00 
 98964.9529       0.00 
 98965.1969       0.00 
 98965.4409       0.00 
 98965.6849       0.00 
 98965.9289       0.00 
 98966.1729       0.00 
 98966.4169       0.00 
 98966.6609       0.00 
 98966.9049       0.00 
 98967.1489       0.00 
 98967.3929       0.00 
 98967.6369       0.00 
 98967.8809       0.00 
 98968.1249       0.00 
 98968.3689       0.00 
 98968.6129       0.00 
 98968.8569       0.00 
 98969.1009       0.00 
 98969.3449       0.00 
 98969.5889       0.00 
 98969.8329       0.00 
 98970.0769       0.00 
 98970.3209       0.00 
 98970.5649       0.00 
 98970.8089       0.00 
 98971.0529       0.00 
 98971.2969       0.00 
 98971.5409       0.00 
 98971.7849       0.00 
 98972.0289       0.00 
 98972.2729       0.00 
 98972.5169       0.00 
 98972.7609       0.00 
 98973.0049       0.00 
 98973.2489       0.00 
 98973.4929       0.00 
 98973.7369       0.00 
 98973.9809       0.00 
 98974.2249       0.00 
 98974.4689       0.00 
 98974.7129       0.00 
 98974.9569       0.00 
 98975.2009       0.00 
 98975.4449       0.00 
 98975.6889       0.00 
 98975.9329       0.00 
 98976.1769       0.00 
 98976.4209       0.00 
 98976.6649       0.00 
 98976.9089       0.00 
 98977.1529       0.00 
 98977.3969       0.00 
 98977.6409       0.00 
 98977.8849       0.00 
 98978.1289       0.00 
 98978.3729       0.00 
 98978.6169       0.00 
 98978.8609       0.00 
 98979.1049       0.00 
 98979.3489       0.00 
 98979.5929       0.00 
 98979.8369       0.00 
 98980.0809       0.00 
 98980.3249       0.00 
 98980.5689       0.00 
 98980.8129       0.00 
 98981.0569       0.00 
 98981.3009       0.00 
 98981.5449       0.00 
 98981.7889       0.00 
 98982.0329       0.00 
 98982.2769       0.00 
 98982.5209       0.00 
 98982.7649       0.00 
 98983.0089       0.00 
 98983.2529       0.00 
 98983.4969       0.00 
 98983.7409       0.00 
 98983.9849       0.00 
 98984.2289       0.00 
 98984.4729       0.00 
 98984.7169       0.00 
 98984.9609       0.00 
 98985.2049       0.00 
 98985.4489       0.00 
 98985.6929       0.00 
 98985.9369       0.00 
 98986.1809       0.00 
 98986.4249       0.00 
 98986.6689       0.00 
 98986.9129       0.00 
 98987.1569       0.00 
 98987.4009       0.00 
 98987.6449       0.00 
 98987.8889       0.00 
 98988.1329       0.00 
 98988.3769       0.00 
 98988.6209       0.00 
 98988.8649       0.00 
 98989.1089       0.00 
 98989.3529       0.00 
 98989.5969       0.00 
 98989.8409       0.00 
 98990.0849       0.00 
 98990.3289       0.00 
 98990.5729       0.00 
 98990.8169       0.00 
 98991.0609       0.00 
 98991.3049       0.00 
 98991.5489       0.00 
 98991.7929       0.00 
 98992.0369       0.00 
 98992.2809       0.00 
 98992.5249       0.00 
 98992.7689       0.00 
 98993.0129       0.00 
 98993.2569       0.00 
 98993.5009       0.00 
 98993.7449       0.00 
 98993.9889       0.00 
 98994.2329       0.00 
 98994.4769       0.00 
 98994.7209       0.00 
 98994.9649       0.00 
 98995.2089       0.00 
 98995.4529       0.00 
 98995.6969       0.00 
 98995.9409       0.00 
 98996.1849       0.00 
 98996.4289       0.00 
 98996.6729       0.00 
 98996.9169       0.00 
 98997.1609       0.00 
 98997.4049       0.00 
 98997.6489       0.00 
 98997.8929       0.00 
 98998.1369       0.00 
 98998.3809       0.00 
 98998.6249       0.00 
 98998.8689       0.00 
 98999.1129       0.00 
 98999.3569       0.01 
 98999.6009       0.01 
 98999.8449       0.03 
 99000.0889       0.04 
 99000.3329       0.06 
 99000.5769       0.09 
 99000.8209       0.11 
 99001.0649       0.11 
 99001.3089       0.11 
 99001.5529       0.08 
 99001.7969       0.06 
 99002.0409       0.04 
 99002.2849       0.02 
 99002.5289       0.01 
 99002.7729       0.01 
 99003.0169       0.00 
 99003.2609       0.00 
 99003.5049       0.00 
 99003.7489       0.00 
 99003.9929       0.00 
 99004.2369       0.00 
 99004.4809       0.00 
 99004.7249       0.00 
 99004.9689       0.00 
 99005.2129       0.00 
 99005.4569       0.00 
 99005.7009       0.00 
 99005.9449       0.00 
 99006.1889       0.00 
 99006.4329       0.00 
 99006.6769       0.00 
